primary key,target values,probability
9000215,0,2.59E-08
9000216,0,3.31E-08
9000217,0,2.07E-09
9000218,0,1.25E-07
9000219,0,2.70E-08
9000220,0,7.86E-06
9000221,0,7.48E-06
9000222,0,2.08E-05
9000223,0,1.72E-08
9000224,0,1.14E-07
9000225,0,3.88E-05
9000226,0,3.29E-05
9000227,0,2.77E-06
9000228,0,6.44E-08
9000229,0,0.000347214
9000230,0,0.017279569
9000231,0,7.38E-09
9000232,0,5.80E-07
9000233,0,0.033378415
9000234,0,3.18E-06
9000235,0,0.000889536
9000236,0,1.96E-06
9000237,0,2.59E-07
9000238,0,1.78E-07
9000239,0,2.79E-05
9000240,0,0.000287855
9000241,0,0.165134713
9000242,0,2.55E-07
9000243,0,7.59E-06
9000244,0,1.09E-07
9000245,0,0.000141934
9000246,0,1.16E-08
9000247,0,1.34E-07
9000248,0,0.017014833
9000249,0,2.60E-08
9000250,0,1.03E-07
9000251,0,4.75E-07
9000252,0,2.86E-05
9000253,0,4.23E-08
9000254,0,0.000678835
9000255,0,1.93E-05
9000256,0,4.15E-08
9000257,0,0.000485612
9000258,0,5.09E-09
9000259,0,8.80E-08
9000260,0,8.65E-07
9000261,0,1.03E-05
9000262,0,5.51E-06
9000263,0,1.33E-06
9000264,0,8.65E-06
9000265,0,1.10E-05
9000266,0,5.64E-05
9000267,0,9.80E-06
9000268,0,6.62E-09
9000269,0,2.07E-05
9000270,0,1.42E-05
9000271,0,2.03E-06
9000272,0,3.48E-08
9000273,0,4.51E-07
9000274,0,0.004322821
9000275,0,2.79E-07
9000276,0,3.55E-08
9000277,0,0.000134782
9000278,0,9.78E-06
9000279,0,1.73E-08
9000280,0,0.000199057
9000281,0,1.87E-07
9000282,0,4.82E-06
9000283,0,2.57E-06
9000284,0,7.59E-07
9000285,0,3.30E-07
9000286,0,3.43E-06
9000287,0,9.92E-06
9000288,0,1.13E-09
9000289,0,6.34E-08
9000290,0,1.63E-08
9000291,0,1.62E-06
9000292,0,6.59E-05
9000293,0,4.19E-07
9000294,0,6.69E-06
9000295,0,9.13E-07
9000296,0,9.57E-09
9000297,0,5.50E-08
9000298,0,6.92E-06
9000299,0,5.86E-06
9000300,0,4.80E-06
9000301,0,0.072563194
9000302,0,7.78E-05
9000303,0,1.27E-07
9000304,0,1.93E-05
9000305,0,2.31E-07
9000306,0,1.35E-07
9000307,0,1.69E-06
9000308,0,0.000324109
9000309,0,7.22E-07
9000310,0,1.73E-05
9000311,0,1.34E-05
9000312,0,0.002238934
9000313,0,3.67E-07
9000314,0,1.90E-06
9000315,0,5.95E-08
9000316,0,3.09E-08
9000317,0,0.201822653
9000318,0,5.36E-07
9000319,0,1.91E-07
9000320,0,3.68E-07
9000321,0,8.38E-08
9000322,0,0.003872033
9000323,0,4.43E-07
9000324,0,1.35E-07
9000325,0,6.00E-06
9000326,0,5.65E-05
9000327,0,1.22E-08
9000328,0,1.04E-07
9000329,0,2.26E-06
9000330,0,0.000510196
9000331,0,4.52E-08
9000332,0,1.72E-05
9000333,0,2.92E-08
9000334,0,1.92E-06
9000335,0,7.75E-05
9000336,0,1.55E-06
9000337,0,1.70E-06
9000338,0,2.23E-06
9000339,0,8.57E-08
9000340,0,1.14E-05
9000341,0,1.36E-07
9000342,0,6.32E-06
9000343,0,1.99E-07
9000344,0,3.38E-07
9000345,0,3.47E-07
9000346,0,4.72E-07
9000347,0,1.23E-06
9000348,0,0.073041417
9000349,0,3.12E-09
9000350,0,5.43E-06
9000351,0,6.45E-07
9000352,0,4.32E-07
9000353,0,0.003344691
9000354,0,1.24E-07
9000355,0,1.52E-05
9000356,0,2.66E-08
9000357,0,2.01E-06
9000358,0,4.90E-06
9000359,0,6.56E-07
9000360,0,9.21E-08
9000361,0,1.97E-05
9000362,0,1.87E-08
9000363,0,1.74E-07
9000364,0,2.47E-05
9000365,0,4.73E-07
9000366,0,0.002312863
9000367,0,8.57E-08
9000368,0,3.58E-08
9000369,0,1.01E-05
9000370,0,9.51E-06
9000371,0,3.20E-09
9000372,0,0.049387787
9000373,0,2.69E-06
9000374,0,0.000157636
9000375,0,2.55E-06
9000376,0,6.39E-07
9000377,0,6.69E-09
9000378,0,5.24E-07
9000379,0,0.000776173
9000380,0,9.44E-07
9000381,0,6.39E-06
9000382,0,4.08E-07
9000383,0,2.96E-06
9000384,0,2.06E-05
9000385,0,5.22E-05
9000386,0,2.50E-07
9000387,0,6.60E-07
9000388,0,2.60E-05
9000389,0,0.002325792
9000390,0,3.65E-05
9000391,0,1.90E-07
9000392,0,5.12E-05
9000393,0,1.30E-06
9000394,0,1.85E-07
9000395,0,8.12E-08
9000396,0,2.31E-07
9000397,0,1.42E-06
9000398,0,3.14E-08
9000399,0,2.68E-06
9000400,0,0.000117534
9000401,0,7.94E-09
9000402,0,2.24E-05
9000403,0,5.66E-08
9000404,0,3.99E-08
9000405,0,7.29E-08
9000406,0,1.16E-08
9000407,0,1.12E-05
9000408,0,4.32E-05
9000409,0,1.40E-06
9000410,0,0.000114881
9000411,0,5.34E-06
9000412,0,9.34E-07
9000413,0,1.93E-06
9000414,0,0.000199036
9000415,0,1.41E-05
9000416,0,1.54E-06
9000417,0,4.64E-06
9000418,0,0.000149501
9000419,0,5.00E-05
9000420,0,4.56E-10
9000421,0,1.71E-06
9000422,0,8.47E-07
9000423,0,1.79E-05
9000424,0,1.60E-05
9000425,0,1.12E-07
9000426,0,2.11E-07
9000427,0,1.26E-05
9000428,0,1.04E-08
9000429,0,3.80E-07
9000430,0,4.87E-08
9000431,0,2.38E-07
9000432,0,2.23E-05
9000433,0,8.96E-08
9000434,0,3.45E-05
9000435,0,2.29E-07
9000436,0,1.05E-07
9000437,0,0.001919938
9000438,0,1.22E-08
9000439,0,4.56E-07
9000440,0,1.89E-06
9000441,0,4.27E-09
9000442,0,4.06E-06
9000443,0,0.000452609
9000444,0,5.22E-05
9000445,0,3.93E-07
9000446,0,0.000358536
9000447,0,0.043123342
9000448,0,3.90E-06
9000449,0,0.002167458
9000450,0,0.000296999
9000451,0,2.14E-08
9000452,0,2.53E-09
9000453,0,2.57E-08
9000454,0,7.31E-07
9000455,0,2.51E-09
9000456,0,2.13E-07
9000457,0,5.67E-08
9000458,0,8.17E-06
9000459,0,6.47E-07
9000460,0,0.064739592
9000461,0,2.09E-08
9000462,0,4.37E-07
9000463,0,3.49E-07
9000464,0,2.53E-07
9000465,0,6.08E-07
9000466,0,0.030633181
9000467,0,1.37E-05
9000468,0,1.40E-07
9000469,0,1.12E-06
9000470,0,4.61E-07
9000471,0,6.29E-08
9000472,0,1.24E-05
9000473,0,5.77E-07
9000474,0,3.05E-08
9000475,0,3.70E-07
9000476,0,1.44E-07
9000477,0,1.78E-07
9000478,0,0.005192382
9000479,0,2.10E-06
9000480,0,2.00E-07
9000481,0,0.000307645
9000482,0,0.000130952
9000483,0,8.60E-08
9000484,0,0.000852939
9000485,0,2.58E-08
9000486,0,3.71E-05
9000487,0,3.89E-07
9000488,0,6.20E-08
9000489,0,2.04E-06
9000490,0,0.000950921
9000491,0,2.02E-05
9000492,0,3.70E-08
9000493,0,4.50E-06
9000494,0,2.93E-09
9000495,0,4.53E-06
9000496,0,3.11E-06
9000497,0,2.44E-05
9000498,0,2.10E-08
9000499,0,7.64E-08
9000500,0,9.86E-08
9000501,0,7.60E-07
9000502,0,2.25E-07
9000503,0,6.09E-08
9000504,0,3.94E-08
9000505,0,7.11E-06
9000506,0,0.000466597
9000507,0,3.77E-06
9000508,0,1.14E-06
9000509,0,0.16822578
9000510,0,5.22E-08
9000511,0,6.08E-10
9000512,0,1.79E-09
9000513,0,1.00E-09
9000514,0,2.20E-07
9000515,0,1.88E-07
9000516,0,1.28E-06
9000517,0,1.72E-07
9000518,0,0.143578306
9000519,0,1.99E-06
9000520,0,9.06E-08
9000521,0,1.26E-09
9000522,0,4.39E-08
9000523,0,1.87E-06
9000524,0,9.82E-05
9000525,0,3.46E-05
9000526,0,8.90E-06
9000527,0,1.12E-07
9000528,0,2.01E-05
9000529,0,5.21E-09
9000530,0,2.05E-07
9000531,0,4.52E-08
9000532,0,1.01E-07
9000533,0,8.55E-06
9000534,0,0.000500013
9000535,0,3.64E-08
9000536,0,6.35E-07
9000537,0,5.05E-05
9000538,0,3.31E-05
9000539,0,0.000639983
9000540,0,7.12E-05
9000541,0,3.25E-07
9000542,0,4.76E-08
9000543,0,0.013880947
9000544,0,9.84E-08
9000545,0,8.22E-06
9000546,0,2.03E-06
9000547,0,4.18E-07
9000548,0,0.000174093
9000549,1,0.504075766
9000550,0,4.16E-09
9000551,0,7.61E-06
9000552,0,8.97E-07
9000553,0,0.000780897
9000554,0,1.35E-05
9000555,0,3.29E-06
9000556,0,2.53E-09
9000557,0,3.95E-08
9000558,0,4.28E-05
9000559,0,0.000161458
9000560,0,1.20E-07
9000561,0,5.69E-06
9000562,0,1.40E-06
9000563,0,3.30E-06
9000564,0,2.96E-05
9000565,0,2.46E-07
9000566,0,7.70E-05
9000567,0,4.31E-05
9000568,0,1.31E-07
9000569,0,9.50E-06
9000570,0,1.02E-05
9000571,0,1.69E-06
9000572,0,0.019622345
9000573,0,9.64E-10
9000574,0,1.14E-07
9000575,0,1.25E-08
9000576,0,5.73E-06
9000577,0,1.68E-06
9000578,0,3.38E-06
9000579,0,2.26E-07
9000580,0,0.000403189
9000581,0,9.25E-09
9000582,0,1.93E-09
9000583,0,1.31E-07
9000584,0,1.61E-06
9000585,0,1.55E-07
9000586,0,4.85E-06
9000587,0,0.047360364
9000588,0,4.33E-08
9000589,0,4.27E-06
9000590,0,3.58E-08
9000591,0,9.27E-08
9000592,0,3.85E-07
9000593,0,1.21E-05
9000594,0,0.001286328
9000595,0,1.99E-06
9000596,0,1.02E-07
9000597,0,1.94E-07
9000598,0,3.04E-10
9000599,0,2.49E-07
9000600,0,1.16E-05
9000601,0,1.30E-07
9000602,0,2.75E-07
9000603,0,3.35E-08
9000604,0,1.50E-05
9000605,0,5.61E-07
9000606,0,3.32E-07
9000607,0,2.83E-07
9000608,0,3.55E-08
9000609,0,9.44E-06
9000610,0,4.77E-06
9000611,0,3.96E-06
9000612,0,8.56E-06
9000613,0,6.47E-05
9000614,0,2.47E-07
9000615,0,1.12E-07
9000616,0,8.99E-08
9000617,0,3.42E-06
9000618,0,2.68E-06
9000619,0,1.61E-07
9000620,0,7.52E-08
9000621,0,6.41E-07
9000622,0,7.55E-07
9000623,0,1.75E-07
9000624,0,3.87E-07
9000625,0,2.79E-08
9000626,0,1.94E-05
9000627,0,0.001426206
9000628,0,2.48E-08
9000629,0,2.97E-08
9000630,0,4.31E-06
9000631,0,1.35E-07
9000632,0,2.45E-05
9000633,0,4.90E-07
9000634,0,6.29E-06
9000635,0,2.23E-07
9000636,0,8.69E-08
9000637,0,8.69E-09
9000638,0,4.68E-06
9000639,0,1.09E-05
9000640,0,5.82E-08
9000641,0,1.21E-07
9000642,0,3.35E-05
9000643,0,3.13E-07
9000644,0,2.10E-05
9000645,0,0.000188332
9000646,0,2.60E-05
9000647,0,2.13E-06
9000648,0,6.79E-07
9000649,0,1.38E-06
9000650,0,8.00E-05
9000651,0,0.002075015
9000652,0,2.60E-08
9000653,0,5.61E-09
9000654,0,8.65E-07
9000655,0,2.87E-05
9000656,0,3.29E-07
9000657,0,6.64E-06
9000658,0,1.10E-06
9000659,0,3.06E-08
9000660,0,3.28E-06
9000661,0,1.67E-07
9000662,0,9.49E-08
9000663,0,0.049485389
9000664,0,5.68E-09
9000665,0,3.77E-05
9000666,0,1.13E-06
9000667,0,3.20E-07
9000668,0,6.00E-08
9000669,0,6.22E-08
9000670,0,2.48E-07
9000671,0,1.49E-08
9000672,0,7.78E-09
9000673,0,6.55E-08
9000674,0,5.35E-05
9000675,0,0.009604244
9000676,0,5.75E-07
9000677,0,0.00023381
9000678,0,1.51E-08
9000679,0,4.95E-08
9000680,0,3.39E-06
9000681,0,6.16E-06
9000682,0,5.04E-07
9000683,0,2.07E-06
9000684,0,1.67E-05
9000685,0,1.25E-05
9000686,0,7.70E-05
9000687,0,1.06E-07
9000688,0,4.61E-05
9000689,0,4.69E-07
9000690,0,6.40E-05
9000691,0,3.19E-06
9000692,0,4.73E-07
9000693,0,0.000400342
9000694,0,3.06E-08
9000695,0,6.28E-08
9000696,0,1.62E-08
9000697,0,2.76E-07
9000698,0,4.64E-08
9000699,0,9.69E-06
9000700,0,3.69E-06
9000701,0,6.52E-08
9000702,0,4.56E-07
9000703,0,1.40E-07
9000704,0,0.303880066
9000705,0,0.002806215
9000706,0,4.16E-08
9000707,0,2.57E-05
9000708,0,5.95E-06
9000709,0,0.000575066
9000710,0,1.81E-07
9000711,0,2.49E-06
9000712,0,4.07E-08
9000713,0,1.10E-08
9000714,0,1.69E-05
9000715,0,6.67E-07
9000716,0,6.63E-07
9000717,0,1.49E-05
9000718,0,3.89E-07
9000719,0,0.000284522
9000720,0,1.21E-05
9000721,0,2.47E-07
9000722,0,4.39E-08
9000723,0,7.06E-07
9000724,0,5.62E-07
9000725,0,1.76E-07
9000726,0,1.00E-05
9000727,0,1.34E-06
9000728,0,4.09E-08
9000729,0,1.47E-08
9000730,0,8.60E-09
9000731,0,1.60E-07
9000732,0,9.33E-05
9000733,0,5.43E-06
9000734,0,2.13E-06
9000735,0,0.003936145
9000736,0,2.03E-08
9000737,0,1.09E-07
9000738,0,2.72E-08
9000739,0,1.40E-07
9000740,0,3.72E-05
9000741,0,9.28E-08
9000742,0,6.40E-06
9000743,0,3.12E-05
9000744,0,1.22E-06
9000745,0,1.18E-05
9000746,0,2.17E-05
9000747,0,0.00028057
9000748,0,4.68E-05
9000749,0,1.73E-08
9000750,0,0.000115845
9000751,0,4.36E-08
9000752,0,7.92E-09
9000753,0,2.51E-06
9000754,0,3.27E-06
9000755,0,1.51E-09
9000756,0,5.10E-08
9000757,0,8.45E-06
9000758,0,0.008460585
9000759,0,9.18E-09
9000760,0,0.00018039
9000761,0,8.74E-05
9000762,0,6.64E-05
9000763,0,6.71E-07
9000764,0,6.69E-09
9000765,0,8.54E-08
9000766,0,1.87E-07
9000767,0,1.12E-07
9000768,0,4.92E-06
9000769,0,8.89E-05
9000770,0,6.46E-08
9000771,0,0.000226689
9000772,0,3.71E-06
9000773,0,0.002906393
9000774,0,4.43E-08
9000775,0,8.50E-06
9000776,0,2.03E-06
9000777,0,5.40E-07
9000778,0,2.12E-06
9000779,0,1.12E-06
9000780,0,1.20E-05
9000781,0,8.41E-05
9000782,0,7.44E-06
9000783,0,5.59E-05
9000784,0,1.23E-06
9000785,0,9.09E-07
9000786,0,3.49E-07
9000787,0,1.24E-05
9000788,0,0.000325108
9000789,0,2.78E-05
9000790,0,8.00E-06
9000791,0,0.000126863
9000792,0,1.40E-08
9000793,0,2.61E-06
9000794,0,3.46E-05
9000795,0,7.11E-09
9000796,0,2.56E-08
9000797,0,2.48E-07
9000798,0,0.000380098
9000799,0,0.002069488
9000800,0,4.65E-07
9000801,0,4.10E-07
9000802,0,0.009708054
9000803,0,1.46E-05
9000804,0,2.89E-05
9000805,0,3.78E-08
9000806,0,2.09E-08
9000807,0,2.64E-07
9000808,0,2.35E-07
9000809,0,5.50E-05
9000810,0,0.000235434
9000811,0,2.53E-09
9000812,0,8.04E-05
9000813,0,3.17E-05
9000814,0,4.59E-06
9000815,0,3.06E-08
9000816,0,0.001423826
9000817,0,9.37E-08
9000818,0,6.88E-06
9000819,0,0.000101082
9000820,0,3.39E-07
9000821,0,0.000219016
9000822,0,1.55E-08
9000823,0,8.43E-06
9000824,0,0.001744376
9000825,0,0.005887273
9000826,0,1.72E-07
9000827,0,1.47E-07
9000828,0,3.05E-07
9000829,0,8.14E-08
9000830,0,9.63E-08
9000831,0,2.53E-09
9000832,0,1.37E-07
9000833,0,5.01E-07
9000834,0,3.99E-07
9000835,0,5.19E-07
9000836,0,4.86E-06
9000837,0,6.84E-06
9000838,0,4.72E-09
9000839,0,1.28E-06
9000840,0,2.41E-07
9000841,0,0.02948647
9000842,0,1.02E-07
9000843,0,9.59E-08
9000844,0,2.11E-06
9000845,0,1.44E-07
9000846,0,1.04E-06
9000847,0,3.10E-06
9000848,0,7.43E-09
9000849,0,1.23E-06
9000850,0,3.37E-08
9000851,0,9.20E-06
9000852,0,4.51E-07
9000853,0,1.97E-06
9000854,0,2.01E-09
9000855,0,0.014034964
9000856,0,2.75E-08
9000857,0,5.43E-06
9000858,0,3.18E-10
9000859,0,7.89E-06
9000860,0,0.042354535
9000861,0,3.86E-06
9000862,0,0.000319126
9000863,0,2.98E-06
9000864,0,2.62E-07
9000865,0,1.48E-05
9000866,0,1.37E-07
9000867,0,8.15E-08
9000868,0,1.30E-09
9000869,0,5.14E-06
9000870,0,4.30E-08
9000871,0,1.64E-07
9000872,0,1.49E-07
9000873,0,5.80E-05
9000874,0,7.77E-07
9000875,0,5.33E-07
9000876,0,2.54E-07
9000877,0,0.000749612
9000878,0,2.53E-06
9000879,0,2.50E-05
9000880,0,1.19E-07
9000881,0,6.27E-06
9000882,0,2.83E-07
9000883,0,0.000224288
9000884,0,8.86E-06
9000885,0,1.30E-08
9000886,0,3.90E-05
9000887,0,1.99E-05
9000888,0,2.80E-06
9000889,0,2.23E-07
9000890,0,2.00E-07
9000891,0,4.21E-07
9000892,0,2.04E-07
9000893,0,0.000377806
9000894,0,5.47E-07
9000895,0,9.43E-05
9000896,0,1.62E-08
9000897,0,6.82E-05
9000898,0,1.58E-06
9000899,0,1.26E-06
9000900,0,2.67E-05
9000901,0,1.63E-06
9000902,0,0.000205762
9000903,0,2.27E-05
9000904,0,1.57E-05
9000905,0,3.78E-08
9000906,0,0.000345001
9000907,0,1.30E-06
9000908,0,3.63E-09
9000909,0,4.15E-08
9000910,0,2.70E-06
9000911,0,3.47E-07
9000912,0,5.43E-06
9000913,0,0.000110141
9000914,0,1.99E-06
9000915,0,3.05E-05
9000916,0,2.87E-07
9000917,0,7.16E-06
9000918,0,2.75E-08
9000919,0,4.42E-06
9000920,0,2.66E-07
9000921,0,2.41E-07
9000922,0,2.20E-07
9000923,0,3.08E-05
9000924,0,4.53E-07
9000925,0,4.43E-07
9000926,0,1.80E-06
9000927,0,2.58E-05
9000928,0,2.41E-06
9000929,0,9.95E-08
9000930,0,1.14E-05
9000931,0,6.63E-08
9000932,0,1.06E-05
9000933,0,2.20E-05
9000934,0,4.41E-08
9000935,0,7.59E-08
9000936,0,0.001234828
9000937,0,2.83E-07
9000938,0,3.57E-07
9000939,0,1.72E-08
9000940,0,0.000712909
9000941,0,4.86E-06
9000942,0,2.53E-09
9000943,0,6.49E-08
9000944,0,5.47E-07
9000945,0,1.41E-06
9000946,0,2.59E-06
9000947,0,6.97E-08
9000948,0,1.33E-07
9000949,0,1.28E-07
9000950,0,2.08E-06
9000951,0,4.57E-06
9000952,0,1.13E-06
9000953,0,2.18E-05
9000954,0,0.000218136
9000955,0,1.23E-09
9000956,0,1.20E-07
9000957,0,9.08E-08
9000958,0,1.86E-07
9000959,0,7.15E-08
9000960,0,2.88E-08
9000961,0,2.42E-07
9000962,0,0.000139131
9000963,0,0.316867352
9000964,0,7.54E-08
9000965,0,4.72E-09
9000966,0,1.77E-07
9000967,0,0.004336962
9000968,0,3.41E-07
9000969,0,2.89E-07
9000970,0,2.11E-08
9000971,0,1.92E-06
9000972,0,0.000115655
9000973,0,1.67E-09
9000974,0,1.10E-06
9000975,0,0.000935284
9000976,0,7.14E-06
9000977,0,3.39E-08
9000978,0,6.97E-07
9000979,0,8.12E-06
9000980,0,3.00E-06
9000981,0,3.76E-08
9000982,0,6.32E-08
9000983,0,5.14E-06
9000984,0,5.17E-06
9000985,0,1.95E-05
9000986,0,2.99E-08
9000987,0,2.30E-07
9000988,0,3.69E-07
9000989,0,1.26E-05
9000990,0,3.60E-07
9000991,0,5.75E-09
9000992,0,9.21E-06
9000993,0,1.57E-08
9000994,0,8.63E-05
9000995,0,1.03E-07
9000996,0,9.21E-08
9000997,0,3.41E-06
9000998,0,3.69E-05
9000999,0,4.31E-05
9001000,0,5.17E-06
9001001,0,1.26E-06
9001002,0,1.74E-09
9001003,0,6.40E-10
9001004,0,0.00137029
9001005,0,6.84E-06
9001006,0,8.88E-08
9001007,0,2.72E-07
9001008,0,2.14E-07
9001009,0,3.04E-08
9001010,0,0.000677022
9001011,0,1.12E-05
9001012,0,5.70E-09
9001013,0,1.41E-07
9001014,0,5.86E-09
9001015,0,3.26E-07
9001016,0,5.37E-07
9001017,0,6.52E-06
9001018,0,1.01E-07
9001019,0,1.77E-06
9001020,0,1.44E-07
9001021,0,0.000149203
9001022,0,2.43E-06
9001023,0,3.89E-08
9001024,0,0.000232403
9001025,0,6.86E-06
9001026,0,2.13E-05
9001027,0,2.55E-06
9001028,0,1.58E-07
9001029,0,0.256508708
9001030,0,1.95E-06
9001031,0,3.33E-08
9001032,0,3.67E-06
9001033,0,0.000467158
9001034,0,3.95E-07
9001035,0,1.19E-06
9001036,0,4.85E-07
9001037,0,4.35E-06
9001038,0,1.10E-06
9001039,0,7.27E-08
9001040,0,2.69E-06
9001041,0,3.74E-07
9001042,0,3.06E-07
9001043,0,0.055888601
9001044,0,1.80E-05
9001045,0,3.31E-09
9001046,0,1.47E-07
9001047,0,1.60E-07
9001048,0,0.000595176
9001049,0,5.88E-06
9001050,0,2.74E-08
9001051,0,5.06E-08
9001052,0,3.58E-07
9001053,0,7.97E-08
9001054,0,5.75E-09
9001055,0,1.25E-05
9001056,0,2.77E-07
9001057,0,1.83E-08
9001058,0,8.82E-09
9001059,0,1.61E-06
9001060,0,0.000523403
9001061,0,3.38E-06
9001062,0,1.73E-07
9001063,0,1.08E-05
9001064,0,7.64E-07
9001065,0,2.00E-05
9001066,0,5.43E-06
9001067,0,0.001392952
9001068,0,2.53E-09
9001069,0,0.003712357
9001070,0,8.13E-07
9001071,0,6.36E-06
9001072,0,1.18E-07
9001073,0,1.51E-05
9001074,0,0.0003306
9001075,0,4.98E-09
9001076,0,2.93E-07
9001077,0,1.65E-08
9001078,0,1.49E-07
9001079,0,3.08E-05
9001080,0,3.66E-08
9001081,0,2.71E-07
9001082,0,1.20E-05
9001083,0,1.21E-07
9001084,0,3.24E-07
9001085,0,3.10E-05
9001086,0,5.66E-08
